id,question_len,num_word_in_question,answer_len,num_word_in_answer,num_word_in_token
55046d5ff8aee20f27000007_001,72,21,23,5,292
55046d5ff8aee20f27000007_002,72,21,23,5,292
55046d5ff8aee20f27000007_003,72,21,12,4,292
55046d5ff8aee20f27000007_004,72,21,23,5,277
55046d5ff8aee20f27000007_005,72,21,12,4,277
55046d5ff8aee20f27000007_006,72,21,12,3,259
55046d5ff8aee20f27000007_007,72,21,23,5,218
55046d5ff8aee20f27000007_008,72,21,28,5,218
55046d5ff8aee20f27000007_009,72,21,12,4,218
55046d5ff8aee20f27000007_010,72,21,23,5,248
55046d5ff8aee20f27000007_011,72,21,39,10,248
55046d5ff8aee20f27000007_012,72,21,12,3,226
55046d5ff8aee20f27000007_013,72,21,10,3,226
55046d5ff8aee20f27000007_014,72,21,28,5,226
55046d5ff8aee20f27000007_015,72,21,12,4,226
55046d5ff8aee20f27000007_016,72,21,6,2,226
55046d5ff8aee20f27000007_017,72,21,23,5,185
55046d5ff8aee20f27000007_018,72,21,23,5,224
55046d5ff8aee20f27000007_019,72,21,12,3,224
55046d5ff8aee20f27000007_020,72,21,10,3,224
55046d5ff8aee20f27000007_021,72,21,12,4,224
55046d5ff8aee20f27000007_022,72,21,6,2,224
55046d5ff8aee20f27000007_023,72,21,23,5,226
55046d5ff8aee20f27000007_024,72,21,39,10,226
55046d5ff8aee20f27000007_025,72,21,12,4,226
55046d5ff8aee20f27000007_026,72,21,12,3,199
55046d5ff8aee20f27000007_027,72,21,10,3,199
55046d5ff8aee20f27000007_028,72,21,12,4,199
55046d5ff8aee20f27000007_029,72,21,6,2,199
553fa78b1d53b76422000007_001,81,20,7,4,272
553fa78b1d53b76422000007_002,81,20,7,4,272
553fa78b1d53b76422000007_003,81,20,7,5,272
553fa78b1d53b76422000007_004,81,20,7,5,272
553fa78b1d53b76422000007_005,81,20,8,5,272
553fa78b1d53b76422000007_006,81,20,8,5,272
553fa78b1d53b76422000007_007,81,20,8,5,272
553fa78b1d53b76422000007_008,81,20,8,5,272
553fa78b1d53b76422000007_009,81,20,8,5,272
553fa78b1d53b76422000007_010,81,20,8,5,272
553fa78b1d53b76422000007_011,81,20,7,5,212
553fa78b1d53b76422000007_012,81,20,7,5,212
553fa78b1d53b76422000007_013,81,20,8,5,265
553fa78b1d53b76422000007_014,81,20,8,5,265
553fa78b1d53b76422000007_015,81,20,8,5,265
553fa78b1d53b76422000007_016,81,20,8,5,265
553fa78b1d53b76422000007_017,81,20,10,8,279
553fa78b1d53b76422000007_018,81,20,10,8,279
553fa78b1d53b76422000007_019,81,20,7,5,279
